cntry,1995_car,1996_car,1997_car,1998_car,1999_car,2000_car,2001_car,2002_car,2003_car,2004_car,2005_car,2006_car,2007_car,2008_car,Average_car,Minimum_car,Maximum_car,2005_alc,2008_alc,Average_alc,Minimum_alc,Maximum_alc,1995_fert,1996_fert,1997_fert,1998_fert,1999_fert,2000_fert,2001_fert,2002_fert,2003_fert,2004_fert,2005_fert,2006_fert,2007_fert,2008_fert,Average_fert,Minimum_fert,Maximum_fert,2002_tbc,2005_tbc,Average_tbc,Minimum_tbc,Maximum_tbc,1995_gdp,1996_gdp,1997_gdp,1998_gdp,1999_gdp,2000_gdp,2001_gdp,2002_gdp,2003_gdp,2004_gdp,2005_gdp,2006_gdp,2007_gdp,2008_gdp,Average_gdp,Minimum_gdp,Maximum_gdp
Albania,,,,,,,,,,,,5.977778497999999,,,5.977778497999999,5.977778497999999,5.977778497999999,6.68,7.29,6.984999999999999,6.68,7.29,2.7230000000000003,2.67,2.611,2.543,2.467,2.383,2.291,2.195,2.097,2.004,1.919,1.849,1.796,1.761,2.236357142857143,1.761,2.7230000000000003,22.4,22.4,22.4,22.4,22.4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0
Argentina,,,10.327,11.597000000000001,10.907,9.882,8.652999999999999,7.382999999999999,7.96,8.216000000000001,8.383,8.971,8.682,,9.178272727272729,7.382999999999999,11.597000000000001,10.0,9.35,9.675,9.35,10.0,2.7739999999999996,2.717,2.657,2.596,2.535,2.477,2.424,2.379,2.34,2.31,2.286,2.2680000000000002,2.254,2.241,2.447,2.241,2.7739999999999996,30.0,30.0,30.0,30.0,30.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Armenia,,,,,,,,,,,,,7.8993,,7.8993,7.8993,7.8993,11.35,13.66,12.504999999999999,11.35,13.66,1.8,1.8,1.7,1.5,1.4,1.3,1.2,1.2,1.4,1.4,1.4,1.3,1.4,1.4,1.4428571428571428,1.2,1.8,29.6,29.6,29.6,29.6,29.6,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
Australia,,,7.019,6.702000000000001,6.791,7.098,6.271,6.33,5.972,5.4239999999999995,,4.803,5.3352,,6.174519999999999,4.803,7.098,10.02,10.21,10.115,10.02,10.21,1.8219999999999998,1.796,1.778,1.7619999999999998,1.755,1.756,1.729,1.756,1.7480000000000002,1.7630000000000001,1.791,1.817,1.92,1.956,1.7963571428571432,1.729,1.956,24.8,24.8,24.8,24.8,24.8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Austria,,,,,7.774,5.761,6.08,4.685,5.044,4.655,4.4430000000000005,4.185,4.04,3.5410000000000004,5.0207999999999995,3.5410000000000004,7.774,13.24,12.4,12.82,12.4,13.24,1.4240000000000002,1.446,1.393,1.37,1.34,1.365,1.33,1.393,1.376,1.419,1.406,1.405,1.379,1.411,1.3897857142857146,1.33,1.446,43.3,43.3,43.3,43.3,43.3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Bahrain,,,21.061999999999998,25.811,4.247,13.530999999999999,13.600999999999999,,,,,,8.1903,,14.407049999999998,4.247,25.811,3.66,4.19,3.9250000000000003,3.66,4.19,3.1,3.005,2.926,2.862,2.81,2.765,2.718,2.665,2.602,2.529,2.449,2.367,2.292,2.229,2.6656428571428568,2.229,3.1,14.6,14.6,14.6,14.6,14.6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Bangladesh,,,,,,,,,,,,4.401493912,,,4.401493912,4.401493912,4.401493912,0.17,0.17,0.17,0.17,0.17,3.7319999999999998,3.596,3.468,3.346,3.2310000000000003,3.12,3.011,2.905,2.802,2.702,2.6069999999999998,2.52,2.443,2.377,2.9899999999999998,2.377,3.7319999999999998,25.6,25.6,25.6,25.6,25.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Barbados,,,,,,9.517999999999999,4.013999999999999,8.266,8.106,,,,8.7703,,7.734859999999999,4.013999999999999,9.517999999999999,6.91,6.42,6.665,6.42,6.91,1.726,1.73,1.736,1.745,1.756,1.768,1.78,1.791,1.801,1.81,1.817,1.8219999999999998,1.827,1.831,1.7814285714285716,1.726,1.831,10.8,10.8,10.8,10.8,10.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0
Belarus,,,,,,,,,,,,,8.45445403,,8.45445403,8.45445403,8.45445403,15.13,18.85,16.990000000000002,15.13,18.85,1.47,1.399,1.338,1.2890000000000001,1.252,1.23,1.224,1.232,1.252,1.281,1.315,1.351,1.386,1.416,1.3167857142857144,1.224,1.47,42.6,42.6,42.6,42.6,42.6,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0
Belgium,7.0729999999999995,,7.727,9.802,9.144,,,,,6.641,,,5.42715,,7.635691666666666,5.42715,9.802,10.77,10.41,10.59,10.41,10.77,1.6059999999999999,1.605,1.607,1.6119999999999999,1.62,1.633,1.652,1.675,1.7,1.7269999999999999,1.754,1.78,1.801,1.819,1.6850714285714283,1.605,1.819,27.1,27.1,27.1,27.1,27.1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
